name	id	beer_style	first_brewed	alcohol_content	original_gravity	final_gravity	ibu_scale	country	brewery_brand	color_srm	from_region	containers
Waldhaus Diplom Pils	/m/04dqfr2			5.0					Waldhaus		Germany	/m/04dr3g0
Privatbrauerei Höss Allgäuer Öko Bier	/m/04dqdvw			4.7					Privatbrauerei Höss		Germany	/m/04dr75z
Bragdy Ceredigion Barcud Coch (Red Kite)	/m/04dqbd3			4.3					Bragdy Ceredigion		United Kingdom	/m/04dq_6c
Binding Export	/m/04dql1y			5.3					Binding		Germany	/m/04dr3x8
Rudgate Brewery Battle Axe	/m/04dqlrl			4.8					Rudgate Brewery		United Kingdom	/m/04dr6yq
Mt. Tam Pale Ale	/m/063hnvh	Pale ale							Marin Brewing Company			
English Bay Pale Ale	/m/05khjx7	Pale ale		5.0					Granville Island Brewing			
Princeton-by-the-Sea IPA	/m/063hm2y								Half Moon Bay Brewing Company			
Le Merle	/m/03xf5mb								North Coast Brewing Company			
Isle of Skye Red Cuillin	/m/04dqfpb			4.2					Isle of Skye		United Kingdom	/m/04dr2_m
High Falls Brewing Co. JW Dundee's American Pale Ale	/m/04dqc_2			5.3					High Falls Brewing Company		United States of America	/m/04dr0dc
Bradfield Brewery Farmers Pale Ale	/m/04dqs06			5.0					Bradfield Brewery		United Kingdom	/m/04dqz4h
Stone Brewing Co. 2006 Imperial Russian Stout	/m/04dqc4m			10.8					Stone Brewing Company		United States of America	
Broughton Ales Greenmantle	/m/04dqnm8			3.9					Broughton Ales		United Kingdom	/m/04dr02m
Dortmunder Union Original	/m/04dqbbc			5.0					Dortmunder Union		Germany	/m/04dqy0m
Ridgeway Lump of Coal - Dark Holiday Stout	/m/04dqllb			8.0					Ridgeway		United Kingdom	/m/04dr2wc
Harviestoun Haggis Hunter Ale	/m/04dq9yp			4.4					Harviestoun Brewery		United Kingdom	/m/04dr1gr
King & Barnes Festive Ale	/m/04dqj38			5.3					King & Barnes		United Kingdom	/m/04dqy5w
Steiger 12	/m/04dqj4t			4.8					Steiger Vyhne		Slovakia	/m/04dqz9m
Harvey's Kiss	/m/04dqqw0			4.8					Harveys Brewery		United Kingdom	/m/04dr3f4
Goetze Caves	/m/04dqksr			5.8					Goetze		Belgium	/m/04dr47j
Wood's Hopping Mad	/m/04dq9x4			4.7					Wood's		United Kingdom	/m/04dr4cx
Brakspear Naturale Organic	/m/04dqwkr			4.6					Brakspear		United Kingdom	/m/04dqy_3
Nuovo Birrificio Italiano Amber Shock	/m/04dqgnm			7.0					Nuovo Birrificio Italiano		Italy	/m/04dqz1w
Guinness Smithwicks	/m/04dqht6			5.0					Guinness		Republic of Ireland	/m/04dr0tm,/m/04dr68q
Bass Our Finest Ale	/m/04dqs1r			4.4					Bass		United Kingdom	/m/04dr6rq
Shepherd Neame Kent Gold	/m/04dqqfx			6.5					Shepherd Neame		United Kingdom	/m/04dr4lj
R&B Brewing Co. Raven Cream Ale	/m/04dqvsc			4.8					R&B Brewing Co.		Canada	/m/04dr1v_
Fischer Hoopla! Bitter	/m/04dqwj6			4.9					Fischer		France	/m/04dr0xr
Coors Breaker Super Brew	/m/04dqs7n			9.0					Coors Brewing Company		United Kingdom	/m/04dr72b
Brasserie Saint-Monon La Saint Monon Bière Brune	/m/04dqdpm			7.5					Brasserie Saint-Monon		Belgium	/m/04dq_5m
Het Anker Mechels Reuzenbier	/m/04dqkr6			10.0					Het Anker		Belgium	/m/04dqyxc
Arcobrau Festbier	/m/04dqdl3			5.7					Arcobrau		Germany	/m/04dr1n_
Theakston Lightfoot	/m/04dqtsn			5.4					Theakston Brewery		United Kingdom	/m/04dqzyw
Samuel Smith's Pure Brewed Lager	/m/04dqnnt			5.0					Samuel Smith Brewery		United Kingdom	/m/04dr00r
Mikkeller BrewDog Devine Rebel	/m/07xm6wp			12.5					Mikkeller,BrewDog			
Tinkoff Platinum	/m/04dqt5d			5.0					Tinkoff brewery		Russia	
Brahma Chopp	/m/04dqfrj			5.0					Brahma		Brazil	/m/04dr2d_
Farsons Lacto	/m/04dqswk			3.4					Farsons		Malta	/m/04dqyyr
Cerveceria de Canarias Dorada Especial	/m/04dqfn0			5.5					Cerveceria de Canarias		Spain	/m/04dr32r
Daleside St George's Ale	/m/04dqtxt			4.1					Daleside		United Kingdom	/m/04dr5d2
Macedonian Thrace Brewery Vergina Premium Lager	/m/04dqbdk			5.0					Macedonian Thrace Brewery		Greece	/m/04dqyn7
Celis White	/m/04dqsby			5.0					Celis		United States of America	/m/04dr71b
Old Rasputin Russian Imperial Stout	/m/03xf5ll	Imperial stout		9.0			75.0		North Coast Brewing Company			
Shepherd Neame Master Brew	/m/04dqv4x			4.0					Shepherd Neame		United Kingdom	/m/04dr3xd
Cantillon Kriek	/m/04dqf7s			5.0					Cantillon Brewery		Belgium	/m/04dq_xh
U Fleku	/m/04dqv98			5.0					U Fleku		Czech Republic	/m/04dr6hq
Silly Saison	/m/04dqf67			5.0					Silly		Belgium	/m/04dr063
Charles Wells Bombardier Satanic Mills	/m/04dqr71			5.0					Charles Wells		United Kingdom	/m/04dr5l6
Fuller's ESB Export	/m/04dqwh_	Extra Special/Strong Bitter		5.9					Fuller, Smith and Turner		United Kingdom	/m/04dr2lr
Pyraser Angewirts Weizen	/m/04dqlqh			5.2					Pyraser		Germany	/m/04dr2g7
Integrated Bottling Solutions Sweet F.A.	/m/04dqf1w			4.0					Integrated Bottling Solutions		United Kingdom	/m/04dqzh_
Peroni Gran Riserva	/m/04dqwpx			6.6					Peroni		Italy	/m/04dr1l3
Palmers Nut Brown Ale	/m/04dqk5h			3.0					Palmers		United Kingdom	/m/04dqycw
Strubbe Ichtegems Oud Bruin	/m/04dqlnj			7.0					Strubbe		Belgium	/m/04dr3fd
Bockor Jacobins Framboise Max	/m/04d2v6k											
Kloster Andechs Hell	/m/04dqd2c			4.8					Kloster Andechs		Germany	/m/04dr5hb
Harvey's Old Ale 'Exhibition Brown'	/m/04dqjhy			3.6					Harveys Brewery		United Kingdom	/m/04dr4bx
Grolsch Lente Bok	/m/04dqb40			6.5					Grolsch Brewery		Netherlands	/m/04dr662
Bernard Svetly Lezak	/m/04dqhzx			4.7					Bernard		Czech Republic	/m/04dqyg_
Bath Ales Festivity	/m/04dqcd8	Porter		5.0					Bath Ales		United Kingdom	/m/04dqzr_
Pete's Wicked Summer Brew	/m/04dqtw8			4.9					Pete's Brewing Company		United States of America	/m/04dq_lc
Shiner Winter Ale	/m/04dqgss			5.06					Shiner		United States of America	/m/04dr0r3
Diekirch Grand Cru	/m/05gjk1x		1871									
Unertl Weissbier	/m/04dqnsz			4.8					Unertl		Germany	/m/04dq_4w
Charles Wells Cobra	/m/04dqmn7			5.0					Charles Wells		United Kingdom	/m/04dqyyw
Columbia Brewery Kokanee Gold Amber Lager	/m/04dqgr7			5.3					Columbia Brewery		Canada	/m/04dr5gq
Bitburger Premium Beer	/m/04dqcp0			4.6					Bitburger		Germany	/m/04dqyjc
St. Stan's Whistle Stop Ale	/m/04dqtj_			4.6					St. Stan's		United States of America	/m/04dr017
Boelens Kerstbier	/m/04dqs9v			8.5					Boelens		Belgium	/m/04dr4v9
Cervecera del Sur del Peru Cusquena	/m/04dqss1			5.0					Cervecera del Sur del Peru		Peru	/m/04dr5xz
Archa Beer	/m/04dqg_b			5.4					Archa Brewery		Thailand	/m/04dqxd_
Dupont Moinette Biologique	/m/04dqczf			7.5					Dupont		Belgium	/m/04dr24w
Ridley's Spectacular	/m/04dqbv_			4.6					Ridley's brewery		United Kingdom	/m/04dr3b0
Biddy Early Brewery Black Biddy	/m/04dqkxx			4.2					Biddy Early Brewery		Republic of Ireland	/m/04dqzp3
Smithwick's	/m/02hv3cg	Irish red ale		5.0					Dundalk Brewery			
Black Bart Stout	/m/03m2nmf											
Dark Star Hylder Blond	/m/0dl8hjh			4.2					Dark Star			
Mole Trap	/m/0cttps4			3.8					Mauldons Brewery			
Piccolo Sesonette	/m/05k7lfk	Saison		6.0					Piccolo Birrificio		Liguria	
Anchor Porter	/m/02hv37j	Robust Porter							Anchor Brewing Company			
Wylam Bohemia	/m/04dqrx8			4.6					Wylam Brewery		United Kingdom	/m/04dqzhw
Maclay Thistle Hurly Burly Oat Malt Stout (Asda)	/m/04dqrk_			4.5					Maclay Thistle		United Kingdom	/m/04dr4yf
Proef Reinart Grand Cru	/m/04dqr6d			9.5					Proef		Belgium	/m/04dq_1w
Klinskoe Light	/m/04dqr0h			4.5					Klinskoe		Russia	/m/04dr1_h
Chiltern Brewery The Lord-Lieutenant's Porter	/m/04dqqxk			6.0					Chiltern Brewery		United Kingdom	/m/04dr26w
Shepherd Neame 1698 Bottle Conditioned Strong Ale	/m/04dqfmc			6.5					Shepherd Neame		United Kingdom	/m/04dq_mh
Zywiec Specjal Jasny Pelny	/m/04dqhlw			6.0					Żywiec Brewery		Poland	/m/04dr41n
De Ranke Kriek	/m/04dqjk0			7.0					De Ranke		Belgium	/m/04dq_q_
Bateman's XXXB	/m/04dqkjw			4.8					Batemans Brewery		United Kingdom	/m/04dr2xm
Lech Free	/m/04gdkhd			0.0					Kompania Piwowarska		Poznań,Poland	/m/04gdkl2,/m/04gdkl8
Bailleux Cuvée des Jonquilles	/m/04dqb3c			7.0					Bailleux		France	/m/04dq_2r
Landtsheer Malheur Biere Brut	/m/04dqm73			11.0					Landtsheer		Belgium	/m/04dr2fw
Rogue Chocolate Stout	/m/04dqbvs			4.8					Rogue Brewing		United Kingdom	/m/04dr4r5
Schlossbrauerei Grunbach Grunbacher Altweiser Gold	/m/04dqn1_			5.3					Schlossbrauerei Grunbach		Germany	/m/04dr22w
Dreher Bak	/m/04dqnv1			7.3					Dreher		Hungary	/m/04dr418
Black Isle Organic Stout	/m/04dqp81			4.5					Black Isle Brewery		United Kingdom	/m/04dr6tz
Dublin Brewing D'Arcy's Dublin Stout	/m/04dqpbp			4.7					Dublin Brewing		Republic of Ireland	/m/04dqzxw
Hepworth & Co. Pullman	/m/04dqx5b			4.2					Hepworth & Co.		United Kingdom	/m/04dr0bm
Sharp's Eden Ale	/m/04dqqcy			4.4					Sharp's		United Kingdom	/m/04dr1pr
Binding Diat Pils	/m/04dqwhs			5.0					Binding		Germany	/m/04dqxfc
Marston's India Export	/m/04dqwg7			5.5					Marston's		United Kingdom	/m/04dr4q8
Berliner Kindl Bock Dunkel	/m/04dqvjh			7.0					Berliner Kindl		Germany	/m/04dr756
Tolly Cobbold Countdown	/m/04dqvgj			5.0					Tolly Cobbold		United Kingdom	/m/04dq_0w
Prignon Winter Fantôme	/m/04dqdmn			8.0					Prignon		Belgium	/m/04dr4ms
Wild Goose Nut Brown Ale	/m/04dqvc0			5.2					Wild Goose		United States of America	/m/04dr0t_
Yates' Undercliff Experience	/m/04dqtjs			4.1					Yates'		United Kingdom	/m/04dr1cw
Delph Brewery Batham's Special Strong Ale	/m/04dqsrd			6.3					Delph Brewery		United Kingdom	/m/04dr0__
Maximiliaan Meibock	/m/04dqryt			6.5					Maximiliaan		Netherlands	/m/04dq_9w
High Falls Brewing Co. JW Dundee's IPA	/m/04dqqt1			6.3					High Falls Brewing Company		United States of America	/m/04dqyr3
Flensburger Pilsener	/m/04dqhtn			4.9					Flensburger		Germany	/m/04dr2gr
J.W. Lees Moonraker Winter Ale	/m/04dqwf4			7.5					JW Lees		United Kingdom	/m/04dq_s7
Goose Island IPA	/m/04dqsyz			5.9					Goose Island Brewery		United States of America	/m/04dr1c7
Kronenbourg Blanc	/m/04dqrxq			5.0					Kronenbourg		France	/m/04dr3md
Obolon Magnat Light Beer	/m/04dqs0n			5.3					Obolon CJSC		Ukraine	/m/04dr62b
Velké Popovicke Kozel Premium Czech Lager	/m/04dq9cz			5.0					Velké Popovicke		Czech Republic	/m/04dr72v
Shepherd Neame Late Red	/m/04dqrw5			4.5					Shepherd Neame		United Kingdom	/m/04dr501
Tomintoul Wildcat	/m/04dq9t2			5.1					Tomintoul		United Kingdom	/m/04dqyt7
Schlossbrauerei Kaltenberg Hell	/m/04dqqbv			5.1					Schlossbrauerei Kaltenberg		Germany	/m/04dqyb7
ZeroDegrees Reading Apple and Cinnamon Wheat Ale	/m/04dq9xl			4.6					ZeroDegrees Reading		United Kingdom	/m/04dqy3r
Moortgat Vedett	/m/04dqc_j			5.0					Moortgat		Belgium	/m/04dq_y3
Integrated Bottling Solutions Old Slap & Tickle	/m/04dqcvy			4.0					Integrated Bottling Solutions		United Kingdom	/m/04dr1kw
Labatt Brewing Co. Bleue Dry	/m/04dqd_7			6.1					Labatt Brewing Company		Canada	/m/04dr3ps
Goose Island Honkers Ale	/m/04dqdh1			4.7					Goose Island Brewery		United States of America	/m/04dqyr7
Amstel Gold	/m/04dqwjn			7.0					Amstel		Netherlands	/m/04dqxy7
Southern Bay Brewing Co Platinum Premium Lager	/m/04dqmx_			4.9					Southern Bay Brewing Co		Australia	/m/04dqy3c
Wellpark (Interbrew) Tennents Super	/m/04dqm60			9.0					Wellpark (Interbrew)		United Kingdom	/m/04dr4hd
Full Sail Wassail	/m/04dqkrn			6.5					Full Sail Brewing Company		United States of America	/m/04dqzvc
Palmers Traditional India Pale Ale	/m/04dqdlk			4.2					Palmers		United Kingdom	/m/04dr2sm
Teme Valley This	/m/04dqkn4			3.7					Teme Valley		United Kingdom	/m/04dr0jr
Daleside Brewery Old Legover Country Stile	/m/04dqfty			4.1					Daleside Brewery		United Kingdom	/m/04dr5hq
Cuauhtemoc Moctezuma Sol	/m/04dqwgp			4.5					Cuauhtémoc Moctezuma Brewery		Mexico	/m/04dr6l6
Dubuisson Bush Noël	/m/04dqd5f			12.0					Brasserie Dubuisson Frères		Belgium	/m/04dqyt3
La Choulette Blanche de Cambrai	/m/04dqg6d			5.0					La Choulette		France	/m/04dqxj7
Whitbread Gold Label Barley Wine	/m/04dqmg_			10.0					Whitbread		United Kingdom	/m/04dr3q8
Anheuser-Busch O'Doul's Amber NA	/m/04d2v54											
Islay Ales Finlaggan Ale	/m/04dqgk_			3.7					Islay Ales		United Kingdom	/m/04dq_lh
Dogfish Head Midas Touch	/m/04dqgx8			9.0					Dogfish Head Brewery		United States of America	/m/04dr6dq
Ash Vine Penguin Porter	/m/04dqgyt			4.2					Ash Vine		United Kingdom	/m/04dr39d
Golden Gate Original Brown Ale	/m/04dqdxv			5.7					Golden Pacific		United States of America	/m/04dqz87
J.W. Lees B/Lyn	/m/04dqshz			5.0					JW Lees		United Kingdom	/m/04dr5y2
Olde Heurich's Foggy Bottom Ale	/m/04dqjcc			5.0					Olde Heurich's		United States of America	/m/04dr6fq
De Graal Gember	/m/04dqmt8			8.0					De Graal		Belgium	/m/04dr4jd
Oschen Brau Ulm Gold Oschen	/m/04dqjnz			5.5					Oschen Brau Ulm		Germany	/m/04dr28_
Apoldaer Maibock	/m/04dqk13			6.2					Apoldaer		Germany	/m/04dr3bd
Tipple's Brewery Moonrocket	/m/04dqc1_			5.0					Tipple's Brewery		United Kingdom	/m/04dr55z
San Miguel Cerveza de Invierno 98/99	/m/04dqfcy			5.0					San Miguel Beer Division		Spain	/m/04dr45j
Heller-Trum Aecht Schlenkerla Rauchbier Weizen	/m/04dqnqb			5.2					Heller-Trum		Germany	/m/04dq_x3
Brasserie La Caracole Troublette	/m/04dqk8k			5.0					Brasserie Caracole		Belgium	/m/04dr3gx
Badger Brewery Export Ale	/m/04dql3x			4.8					Badger Brewery		United Kingdom	/m/04dr0w7
Dublin Brewing Maeve's Crystal Wheat	/m/04dql88			4.7					Dublin Brewing		Republic of Ireland	/m/04dr2j3
Lagunitas Equinox Ale	/m/04dql9t			6.4					Lagunitas Brewing Company		United States of America	/m/04dr2ch
Farsons Hopleaf Pale Ale	/m/04dqwvy			3.8					Farsons		Malta	/m/04dq_3_
Tennent's Lager	/m/04d020g								Wellpark Brewery			
Murphy's Irish Red	/m/04dqsy2			5.0					Murphy's Brewery		Republic of Ireland	/m/04dqy6w
Tegernseer Dunkel Export	/m/04dq9gl			5.9					Tegernseer		Germany	/m/04dr0q3
Oettinger Hefeweissbier Naturtrüb	/m/04dqft1			4.9					Oettinger		Germany	/m/04dr460
Robert Cain Golden Summer Ale (Asda)	/m/04dqltk			5.0					Robert Cain		United Kingdom	/m/04dqxp3
Islay Ales Black Rock Ale	/m/04dqp0d			4.2					Islay Ales		United Kingdom	/m/04dr75v
Castelain Ch'ti Blonde	/m/04dqppv	Blonde ale		6.4					Castelain		France	/m/04dr2rm
Svijany Rytír	/m/04dqrf5			5.0					Svijany		Czech Republic	/m/04dr147
John Martin's Avec Fleur	/m/04dq9c2			5.8					John Martin's		Belgium	/m/04dr6q6
Kloster Andechs Andechser Bergbock Hell	/m/04dqfxk			6.9					Kloster Andechs		Germany	/m/04dr2tm
Oschenfurter Kauzen Helles	/m/04dqg0h			4.8					Oschenfurter		Germany	/m/04dqygw
Cruzcampo Cerveza Pilsen	/m/04dqrgq			4.8					Cruzcampo		Spain	/m/04dr3ws
Courage Director's Draught Bitter	/m/04dqcv1			4.8					Courage		United Kingdom	/m/04dqzpc
Farmer's Ales Maldon Oyster Stout	/m/04dqt2k			5.0					Farmer's Ales		United Kingdom	/m/04dr0kh
Spaten Optimator	/m/04dqt8g			8.0					Spaten Brewery		Germany	/m/04dr4fd,/m/04dqzb_
Australian Ale	/m/0gfs8kj								Bridge Road Brewers			
Jarrow Brewing Company Old Cornelius	/m/0dlfhy0			5.8					Jarrow Brewing Company			
Fyne Piper's Gold	/m/0dkfsry								Fyne Ales			
Howard Town Brewery Bleaklow	/m/0dlfhqr			3.8					Howard Town Brewery			
Red Watch	/m/0cttpr6			4.2					Cambridge Moonshine			
New World Wheat	/m/063hly4	Wheat beer							Tied-House Cafe & Brewery			
Long Barn ESB	/m/063jn04	Extra Special/Strong Bitter		4.2			33.0		Magnolia Gastropub and Brewery			
Picaroon's Irish Red	/m/027dkp8								Northampton Brewing Co. Ltd			
Castle Rock Hemlock Bitter	/m/0dl8hcc	Bitter		4.0					Castle Rock Brewery			
Hopton	/m/0dj2q2h								Thornbridge Brewery			
RSX	/m/0cttpsl			3.9					Red Squirrel Brewery			
Wem Brewing Company Nutcracker Ale	/m/0dlfhnn								Wem Brewing Company			
Wem Brewing Company Scorpio Porter	/m/0dlfhp0	Porter							Wem Brewing Company			
Mussel Stout	/m/0gfs8h3								Bellarine Brewing Company			
Abbey Ales White Friar	/m/0djv0xh	Bitter							Abbey Ales Brewery			
Dark Star Best Bitter	/m/0dl8hhn			4.0					Dark Star			
Evan Evans  Cwrw 	/m/0dkfs7g								Evan Evans Brewery			
Maiden The Shade	/m/0dlw1b1								Ninkasi Brewing			
Wem Brewing Company Drawwell Bitter	/m/0dlfhmx								Wem Brewing Company			
Dark Star EPA	/m/0dl8hj0			4.5					Dark Star			
Verhaeghe-Vichte Cambrinus	/m/05dcf79								Verhaeghe-Vichte			
Alaskan Amber	/m/02hypr9	Amber ale		5.0	1.054		18.0		Alaskan Brewing Company	22	United States of America	
Dark Star Imperial Stout	/m/0dl8hjl			10.5					Dark Star			
Brock	/m/0dj2q29								Thornbridge Brewery			
Two Brewers Bitter	/m/0cttpnx			3.6					B & T			
Crouch Vale Brewery Amarillo	/m/0dl8hgn	Bitter		3.5					Crouch Vale Brewery			
McAuslan Brewing St. Ambroise Oatmeal Stout	/m/04dqdv6			5.0					McAuslan		Canada	/m/04dr4nx
Baltika 3 (Klassicheskoe Svetloe Pivo)	/m/04dqjx2			4.8					Baltika Brewery		Russia	/m/04dr2nh
Salitos Tequila	/m/04dq9cj			5.2					Salitos		Mexico	/m/04dqzg3
Castelain Saint Patron	/m/04dqtzs			7.5					Castelain		France	/m/04dqzgc
GAB [oatmeal] Stout	/m/04dqk1k			5.0					GAB		Poland	/m/04dr4cn
De Koninck	/m/04dqvzh			5.0					De Koninck Brewery		Belgium	/m/04dr67q
Holsten Export	/m/04dqrb3			4.7					Holsten		Germany	/m/04dr586
Deschutes Brewery Black Butte Porter	/m/04dql2t			5.5					Deschutes Brewery		United States of America	/m/04dr12_
Daleside Brewery Crack Shot	/m/04dql18			5.5					Daleside Brewery		United Kingdom	/m/04dr48n
Daleside Brewery Morocco Ale	/m/04dqt1g			5.5					Daleside Brewery		United Kingdom	/m/04dqyn3
Hammerpot Meteor Premium Sussex Ale	/m/04dqvp2			3.8					Hammerpot		United Kingdom	/m/04dr5tz
Harvey's Christmas Ale	/m/04dq9fh	Winter Warmer		8.1					Harveys Brewery		United Kingdom	/m/04dqz03
Timothy Taylor Golden Best	/m/04dqd4b			3.5					Timothy Taylor		United Kingdom	/m/04dr6hv
Rogue XS Imperial Stout	/m/04dqk7g			11.6					Rogue Brewing		United States of America	/m/04dr428
Stonehenge Old Smokey	/m/04dqmkv			5.0					Stonehenge		United Kingdom	/m/04dr4ds
Tomintoul Stag Scottish Ale	/m/04dqrfm			4.1					Tomintoul		United Kingdom	/m/04dr61b
Samuel Smith's Oatmeal Stout	/m/04dqlsg			5.0					Samuel Smith Brewery		United Kingdom	/m/04dqylr
Liefmans Jan van Gent	/m/04dqkzw			5.5					Liefmans		Belgium	/m/04dr76l
Poachers Trembling Rabbit Dark Mild	/m/04dqdwr			3.4					Poachers		United Kingdom	/m/04dqybm
Banks's Mild	/m/04dqf3v			3.5					Banks's		United Kingdom	/m/04dr6sq
Felstar Grand Crix	/m/04dqf86			4.1					Felstar Brewery		United Kingdom	/m/04dr69z
Greene King IPA Chilled	/m/04dqsdx			3.6					Greene King Brewery		United Kingdom	/m/04dr6vg
Saris Tmave Pivo	/m/04dqty7			5.0					Saris		Slovakia	/m/04dr1z_
LöwenWeisse Hefe-Weissbier	/m/04dqf9r			5.2					Löwenbräu		Germany	/m/04dqz__
Phillips Black Torque India Dark Ale	/m/04dqv6w			6.5					Phillips		Canada	/m/04dr5bg
Charles Wells Cobra Lower Cal (Lower Carb)	/m/04dqfwg			4.3					Charles Wells		United Kingdom	/m/04dr20r
Hoggleys Northamptonshire Bitter	/m/04dqgt6			4.0					Hoggleys		United Kingdom	/m/04dqzc7
Labatt Brewing Co. Lucky Lager	/m/04dqsyj			5.0					Labatt Brewing Company		Canada	/m/04dr4h8
Freeminer Brewery Shakemantle	/m/04dqt7c			5.0					The Freeminer Brewery		United Kingdom	/m/04dr1cc
Shepherd Neame Christmas Ale 2001	/m/04dqr90			6.7					Shepherd Neame		United Kingdom	/m/04dr1p_
Heineken Premium Light	/m/02qyxkn											
Abita Purple Haze	/m/02hv38y											
Crown Lager	/m/027mmv7											
Corona	/m/02sjr2h										Mexico	
Achel 8 Bruin	/m/04dqfbv			8.0					Brouwerij de Achelse Kluis		Belgium	/m/04dr53y,/m/062zt8l
Leikeim Premium	/m/04dqblg			4.9					Leikeim		Germany	/m/04dq_z7
Tennent Caledonian Younger of Alloa Sweetheart Stout	/m/04d2v5m											
Antares Honey Beer	/m/04sw_g1			7.5					Cervecería Antares		Argentina	
Red Seal Ale	/m/03xf5kn								North Coast Brewing Company			
Abbaye du Val-Dieu Triple	/m/04dqdcb			9.0					Abbaye du Val-Dieu		Belgium	/m/04dr4pd
Mount Shivalik Thunderbolt	/m/04dqwxt			9.0					Mount Shivalik		India	/m/04dr4xy
Thwaites Lancashire Strong Brown Ale	/m/04dqw8b			5.0					Thwaites Brewery		United Kingdom	/m/04dr31h
De Dolle Brouwers Extra Export Stout	/m/04dqw2f			9.0					De Dolle Brouwers		Belgium	
St Christoffel Blond	/m/04dqvg9			6.0					St Christoffel		Netherlands	/m/04dr0v7
Teignworthy Old Moggie	/m/04dqsgw			4.4					Teignworthy		United Kingdom	/m/04dr123
Spaten Pils	/m/04dqpxm			5.0					Spaten Brewery		Germany	/m/04dr488
Us Heit (De Friese Bierbrouwerij) Dubbel Tarwe Bier	/m/04dqpt3			6.0					Us Heit (De Friese Bierbrouwerij)		Netherlands	/m/04dr183
Sonoran Inebriator Stout	/m/04dqnxx			9.1					Sonoran		United States of America	/m/04dqy7_
Islay Ales Single Malt Ale	/m/04dqn5h			5.0					Islay Ales		United Kingdom	/m/04dr4d8
Brouwerij 't IJ Turbock Winterbier	/m/04dqmtq			9.0					Brouwerij 't IJ		Netherlands	/m/04dqysr
Freeminer Brewery Trafalgar IPA	/m/04dqms5	India Pale Ale		6.0					The Freeminer Brewery		United Kingdom	/m/04dr21r
Gessner Premium Pils	/m/04dqm9z			4.9					Gessner		Germany	/m/04dr1hm
Darmstadter	/m/04dqlvf			5.2					Darmstadter Privatbrauerei Wilhelm Rummel		Germany	/m/04dr55l
Dublin Brewing Beckett's Gold	/m/04dql8q			4.7					Dublin Brewing		Republic of Ireland	/m/04dqz9c
Charles Wells Josephine Grimbley's Strong Ale	/m/04dql75			5.0					Charles Wells		United Kingdom	/m/04dr43d
Dubuisson Bush Blonde	/m/04dqk00			10.5					Brasserie Dubuisson Frères		Belgium	/m/04dr6wz
Williams Brothers Gold	/m/04dqjmw			3.9					Williams Brothers		United Kingdom	/m/04dqxzr
Molson Canadian	/m/04dqj6_			5.0					Molson		Canada	/m/04dr6ll
