name	id	beer_style	first_brewed	alcohol_content	original_gravity	final_gravity	ibu_scale	country	brewery_brand	color_srm	from_region	containers
Miller Genuine Draft	/m/02hv39w											
Hakim Stout	/m/059q7h1	Stout		5.8					Harar Beer Factory		Ethiopia	
Wellington County Dark Ale	/m/04dqvym			5.0					Wellington		Canada	/m/04dr5xv
De Regenboog 't Smisje Honingbier	/m/04dqbhm			6.0					Regenboog Brewery		Belgium	/m/04dqxph
Hop Back Entire Stout	/m/04dqf8w			4.5					Hop Back Brewery		United Kingdom	/m/04dqzb7
Dubuisson Cuvee du Troll	/m/04dqsw3			7.0					Brasserie Dubuisson Frères		Belgium	
Foxley Howling Wolf	/m/04dqd3g			4.8					Foxley		United Kingdom	/m/04dr54p
Bridge of Allan Sporran Warmer	/m/04dqpts			4.8					Bridge of Allan		United Kingdom	/m/04dr4k0
Du Bocq Regal Christmas Beer	/m/04dqd9c			9.0					Brasserie Du Bocq		Belgium	/m/04dr3q4
Wychwood Goliath	/m/04dqk0p			4.2					Wychwood Brewery		United Kingdom	/m/04dr32m
Kenya Breweries Tusker Premium Lager	/m/04dqps7			5.0					Kenya Breweries		Kenya	/m/04dr30c
Young's Summer Beer	/m/04dqmr9			4.5					Young's Brewery		United Kingdom	/m/04dqydw
De Leckere Witbier	/m/04dqln2			5.0					De Leckere		Netherlands	/m/04dqxhw
Frog Island Offie Clarendon Park Ale	/m/04dqtyx			5.0					Frog Island		United Kingdom	/m/04dqxmm
Old Kent Top Score 375	/m/04dqqmc			4.6					Old Kent		United Kingdom	/m/04dr6dl
Pete's Wicked Bohemian Pilsner	/m/04dq980			4.9					Pete's Brewing Company		United States of America	/m/04dr26h
Clay Pipe Brewing Company Backfin Pale Ale	/m/04dqfvl			5.5					Clay Pipe Brewing Company		United States of America	/m/04dr2gw
Wooden Hand Cornish Buccaneer	/m/04dqt6h			4.3					Wooden Hand		United Kingdom	/m/04dr2gc
Moortgat Duvel	/m/04dq9z_			8.5					Moortgat		Belgium	/m/04dr6lg,/m/04dr68z
Schlüssel Original Schlüssel	/m/04dqt0l			5.0					Schlüssel		Germany	/m/04dr2v7
Greene King Morland Original	/m/04dqgtw			4.0					Greene King Brewery		United Kingdom	/m/04dr13r
Żubr	/m/04gdkhs								Kompania Piwowarska			
Bards Tale	/m/04j7w7v	gluten free									United States of America	
Alhambra Mezquita	/m/04dql69			7.2					Alhambra		Spain	/m/04dqxjr
Harviestoun Old Engine Oil	/m/04dqgv9			5.0					Harviestoun Brewery		United Kingdom	/m/04dq_7_
Cass	/m/04dmw8t										South Korea	
Denninghoff Weiss	/m/04dqk6l			5.2					Denninghoff		Germany	/m/04dqxjm
